文件名,作品名称,作者,美感类型,优势度评分,愉悦度评分,唤醒度评分
1.4_s163n.jpg,花鸟册（十二开）1699年30.7×27.5cm-8,八大山人,4,3.25,3.3,4.55
1.45_l22.jpg,蛙声十里出山泉,齐白石,5,3.95,4.35,3.8
1.45_s216.jpg,附：笔法演示-4,曹明冉,4,3.8,3.75,4.85
1.45_s218.jpg,八哥__1961年,李照东,4,3.8,3.45,4.45
1.5_s157n.jpg,杂画册（四开）___1690年,八大山人,3,4.3,4.55,5.15
1.5_s160n.jpg,游鱼图轴1691年96×46cm,八大山人,3,4.2,3.55,5.5
1.5_s165o.jpg,卷石山茶　S,,4,3.8,3.7,4.35
1.55_s227.jpg,牛35×35_cm_1966年,石鲁,3,4.45,4.15,5.3
1.6_s156n.jpg,杂画册（十二开选八）1695年32.8×31.5cm-2,八大山人,4,4.15,3.95,4.55
1.65_s226.jpg,家藏册页（12开）-8_24×33_cm×12_1973年,石鲁,3,4.7,5.1,5.3
1.75_l222.jpg,梅清《莲花峰》(《黄山图册》选一),戴本孝,5,3.35,4.6,4
1.8_l223.jpg,再作不可山水诗文册页20.3×24.2cm-7,担当,2,3.5,3.75,4.65
1.8_s179n.jpg,周鹏飞_清新八趣__40cm×40cm×8-2,周鹏飞,3,3.9,4.6,5.2
1.8_s70.jpg,鲇鱼图,李方膺,3,4.35,4.5,4.1
1.85_l256.jpg,西墩村写生__45×63cm__2008年,李照东,5,4,4.95,4.75
1.85_l30.jpg,瑞鹤图,赵佶,5,4.8,6,4.1
1.9_l122.jpg,沙面东桥,陆俨少,4,5.15,4.7,4.65
1.9_l199.jpg,绘林集妙散页26.6×26.2cm,八大山人,2,4.2,4.55,4.45
1.9_l34.jpg,乌桕文禽图,佚名,4,4.3,4.25,4.2
1.95_l246.jpg,墨泻十方如来，烟点百里荷沼__35×270cm__2006年-2,李照东,5,3.55,3.9,4.2
2.05_l218.jpg,山水册（十二页）1693年_23.5x34cm-9,戴本孝,1,4.45,5,4.2
2.05_l241.jpg,祖国富强__69×70cm__1992年,方召,2,5.6,6,4.55
2.05_l269.jpg,黄土高坡_15×20_cm_1958年,石鲁,1,6.05,5.8,4.9
2.05_l6.jpg,仿古山水十二开-4,杨晋,5,4.85,5.45,4.65
2.05_s153n.jpg,墨笔杂画册（十开）26.3×23.3cm－3,八大山人,5,3.85,4.55,3.5
2.05_s158n.jpg,松石萱草图轴184.5×92.1cm,八大山人,5,4,4.2,4.4
2.1_l193.jpg,金笺本墨笔 纵27.7厘米 横34.1厘米 上海博物馆藏,李流芳,1,4.95,5.1,4.6
2.1_l229.jpg,诗画合册图-6,担当,2,3.3,4,4
2.1_l273.jpg,岩壑奇观图-2,萧云从,5,4.75,4.35,4.25
2.1_l49.jpg,细雨骑驴入剑门,陈树人,1,4.3,4.1,3.9
2.1_l65.jpg,梅月图 ,潘天寿,2,4,4.3,5
2.1_s16.jpg,桑果山鸟图,佚名,4,3.95,4.45,4
2.1_s180o.jpg,牧牛 溥心,,5,4.75,5.2,4.8
2.1_s217.jpg,香绕泰巅烟雨外_梦笔落墨点新苞，风拂露堕花欲摇。香绕泰巅烟雨外，溪泉留客醉芳草。明冉K记於北京,曹明冉,4,3.9,3.55,3.75
2.15_l194.jpg,山水蔬果花卉图（局部）清 石涛 册页 纸本设色 每页28×21.8厘米 美国纽约大都会美术馆藏,石涛,3,5.1,5.6,4.5
2.15_l24.jpg,微风燕子图,潘天寿,4,4.5,4.55,4.5
2.15_l28.jpg,竹石锦鸡图,黄居u,5,4.9,4.75,5.15
2.15_l83.jpg,夕阳秋影图 , 吴历,1,5.05,4.6,5.45
2.15_l93.jpg,书画06-N,傅抱石,2,4.85,4,5.4
2.15_s151n.jpg,八大山人_个山人屋花卉册（十一开）30.3×30.3cm-4,八大山人,4,5.85,5.9,5.15
2.15_s185n.jpg,周鹏飞_蕉林共语图_240cm×123cm,周鹏飞,3,3.95,3.9,4.55
2.15_s19.jpg,芙蓉游鹅图,孙隆,3,4.35,4.2,4.55
2.15_s223.jpg,王森然_己未册页之四__1979年__35×23cm,王森然,4,4.3,4.65,4.2
2.15_s50.jpg,菊花图,唐寅,2,6.5,6.4,5.35
2.2_l226.jpg,担当_山水人物册页25.5×34.5cm-1,担当,5,4.6,4.15,4.75
2.2_l75.jpg,画山水人物册58-59,唐寅,2,4.8,4.65,4.9
2.2_s11.jpg,梅花册,罗聘,4,4.7,4.45,4.9
2.2_s152n.jpg,八大山人_书画册（16开）1699年25×20cm－1,八大山人,4,3.7,4,5.45
2.2_s184n.jpg,周鹏飞_荷塘栖鹭_240cm×123cm,周鹏飞,3,4.25,4.1,4.45
2.2_s206.jpg,明月秋水共清风_芳草不借画家工，暗香浮动前草亭。又得金石长相顾，明月秋水共清风。两千零八开岁之初__明冉并识之於北京,曹明冉,4,4.5,4.05,4.7
2.2_s75.jpg, 兰竹石图册32-22cm-1,诸升,5,5.25,4.6,5.25
2.25_s158o.jpg,明姚R竹　S,,5,4.6,4.75,5
2.25_s184o.jpg,pR 溥,,3,3.55,3.4,4.9
2.25_s186o.jpg, 溥心,,3,5.2,4.9,5.3
2.3_l106.jpg,竹林七贤,吴永良,3,4.1,3.8,4.8
2.3_l169.jpg,《寒江独钓图》明 袁尚统 纸本设色 纵131厘米 横61厘米 山东省博物馆藏,袁尚统,5,3.75,3.65,4.95
2.3_l225.jpg,担当_如读陶诗山水人物册页_27.8×37cm-6,担当,2,4.25,4.3,4.8
2.3_l37.jpg,山鹧棘雀图,黄居u,3,4.4,4.25,5.25
2.3_s187.jpg,周鹏飞_雄立大千图_40cm×123cm,周鹏飞,5,5.55,5.5,5.7
2.3_s221.jpg,李照东_深林人不知_970mm×450mm,李照东,4,6.35,5.9,5.3
2.35_l105.jpg,桥,吴冠中,3,4.5,4.45,3.45
2.35_l250.jpg,李照东_广澳马蹄角写生__32×46cm__2007年,李照东,5,4.5,4.45,4.2
2.35_l268.jpg,石鲁_雄秀之风_154×80cm_1974年,石鲁,1,4.65,4.4,4.45
2.35_l33.jpg,梅石溪凫图,马远,3,3.85,4.65,3.75
2.35_s204.jpg,曹明冉_墨著霜花淡淡风_暗香浮动前草亭，清溪绕堂不闻声。月照东篱星欲睡，墨著霜花淡淡风。戊子九月十八於北京明冉,曹明冉,4,5.35,5.55,5.35
2.4_l214.jpg,戴本孝_1_山水册_约1692－1693年_21.3x16.5cm-5,戴本孝,2,5.1,5.8,4.45
2.4_l274.jpg,萧云从_白山图,萧云从,1,4.55,4.8,4.4
2.4_l280.jpg,萧云从_鹤儿山图,萧云从,2,4.4,4.05,4.1
2.4_l36.jpg,猿图,颜辉,3,5.05,4.7,4.5
2.4_l99.jpg,江南水乡,吴冠中,4,4.25,4.6,4.7
2.4_s177n.jpg,周鹏飞_清兴八式c240cm×70cm×8-3,周鹏飞,4,4.5,4.45,4.25
2.4_s214.jpg,曹明冉_观音瓶草图,曹明冉,4,3.5,4.3,4.15
2.4_s67.jpg,绿叶飞蛾,齐白石,3,5.5,5.35,4.7
2.4_s80.jpg,T香^生 梅花,燮,4,4.65,4.7,4.65
2.4_s94.jpg,芦苇草,吴冠中,3,5.65,5.7,4.95
2.45_l102.jpg,苍山洱海,吴冠中,3,4.85,4.9,5.5
2.45_l121.jpg,山水映云图,陆俨少,2,3.7,4.25,4.8
2.45_l217.jpg,戴本孝_山水册（十二开）_约1690年_21.8x16.4cm-11,戴本孝,2,4.85,4.95,4.9
2.45_l220.jpg,戴本孝_山谷千峰图,戴本孝,1,5,4.75,5
2.45_l262.jpg,石鲁_山居小景_69×50_cm__1961年_沈阳故宫博物院藏,石鲁,2,5.2,5.2,5.05
2.45_l263.jpg,石鲁_山涧碧流_70×69_cm_1963年,石鲁,2,5.65,6.1,4.45
2.45_l88.jpg,休园图-冬,王云,5,4.6,5.8,4.3
2.45_s163o.jpg,明xr臣青松白D　S,,5,4.1,3.95,3.95
2.45_s28.jpg,墨荷图,王震,4,4.15,4,3.65
2.5_l168.jpg,《吴中十景图》明 李流芳 金笺本墨笔 纵27.7厘米 横34.1厘米 上海博物馆藏, 李流芳,1,5.25,5.55,4.9
2.5_l181.jpg,《溪山兰若图》 北宋　巨然　绢本墨笔　纵185.4厘米 横57.6厘米 美国克利夫兰博物馆藏,巨然,1,4.85,4.85,4.45
2.5_l198.jpg,八大山人_山水鱼鸟册（八开）26.5×19.5cm－3,八大山人,2,4.2,4.35,4.25
2.5_l260.jpg,石鲁_1959_浓荫,石鲁,5,3.65,3.9,4.25
2.5_l44.jpg,浴凫图,吕纪,3,4.05,4.1,4.85
2.5_s162n.jpg,八大山人_芙蓉芦雁图轴147.6×73.8cm,八大山人,3,4.25,4.5,3.55
2.55_l103.jpg,黄山日出,吴冠中,3,3.85,4.05,3
2.55_l245.jpg,李照东_内蒙古写生__32×46cm__2006年,李照东,1,4.5,4.7,4.3
2.55_l249.jpg,李照东_巨峰寺写生__45×63cm_2008年,李照东,1,3.35,4.3,4.1
2.55_l40.jpg,竹石集禽图,王渊,3,4.75,4.9,4.55
2.55_l73.jpg,潇湘图卷,董源,1,4.65,4.55,5.3
2.55_s151o.jpg,元w孟\窠木竹石　S,,5,5.6,5.7,4.15
2.55_s153o.jpg,唐n衷绸R　S,,3,4.35,5.35,4.15
2.55_s201.jpg,曹明冉_刚柔相依到如今_苍苔望行云，遥听流水音。兰石本同图，相依到如今。丁亥八月初三__明冉,曹明冉,4,3.75,4.3,3.85
2.6_l126.jpg,蒙象册1,陆俨少,2,5.05,4.9,5.05
2.6_l76.jpg,画山水人物册60-61,唐寅,5,4.45,4.5,4.6
2.6_l87.jpg,仿古山水册302,恽寿平,1,3.85,3.8,3.95
2.6_l89.jpg,休园图-秋,王云,2,4.85,3.95,3.95
2.6_l98.jpg,水乡,吴冠中,2,5.2,4.55,5.4
2.6_s117.jpg,荷花,董希源 ,2,5.15,5.95,5
2.6_s154o.jpg,明仇英春山晴\　卷,,2,4.3,4.15,4.2
2.6_s195.jpg,孙其峰_秋山白羽_1998年,孙其峰,3,4.6,5.3,3.95
2.65_l173.jpg,《山水图》明 项圣谟 纸本水墨 纵56.5厘米 横31.3厘米 辽宁省博物馆藏, 项圣谟,1,5.05,4.95,4.95
2.65_l186.jpg,《秋林平远图》明 恽向 纸本墨笔 纵61.5厘米 横61.5厘米 上海博物馆藏,恽向,1,5.4,4.95,4.8
2.65_l270.jpg,萧云从_五峰之图,萧云从,1,6.7,5.6,5.4
2.65_l53.jpg,鱼鹰竹子,崔子范,5,4.45,4.35,4.4
2.65_l59.jpg,盛夏图,李苦禅,3,5.95,6.5,4.65
2.65_s12.jpg,天竹水仙图,吴昌硕,3,4.9,5.35,4
2.65_s161o.jpg,明沈周花下睡Z　S,,3,4.7,4.5,4.05
2.65_s162o.jpg,明王古木竹石　S,,5,4.2,4.65,4.05
2.65_s55.jpg,莲石图,陈洪绶,4,3.25,3.8,3.75
2.7_l21.jpg,一梧轩图,卞文瑜,2,5.4,5.8,5
2.7_l216.jpg,戴本孝_山水册_约1692－1693年_21.3x16.5cm-4,戴本孝,2,5.15,5.65,5.8
2.7_l247.jpg,李照东_好望角途中__45×63cm__2008年,李照东,5,5.55,4.8,5
2.7_l261.jpg,石鲁_华山西峰_1962年_69×55cm,石鲁,1,4.05,4.1,4.1
2.7_l3.jpg,山水十开-4,查士标,5,4.4,3.95,4.7
2.7_l77.jpg,画山水人物册64-65,唐寅,2,4.6,4.4,4.5
2.7_s121.jpg,白菡萏香初过雨,陆俨少,4,4.85,4.85,4.25
2.7_s23.jpg,城南春色图,李W,3,4.35,5.05,4.3
2.7_s30.jpg,荷,张大千,4,3.6,4.95,3.5
2.75_l130.jpg,书画01, 黄君壁,5,3.9,3.95,4.65
2.75_l196.jpg,八大山人_山水册（十开）1702年26×41cm－10,八大山人,5,5,4.9,4.35
2.75_l277.jpg,萧云从_设色山水册1653年23.7×14.7cm-8,萧云从,1,4.45,4.25,5.15
2.75_l7.jpg,仿古山水十二开-6,杨晋,1,6.25,6.1,5.55
2.75_l86.jpg,仿古山水册301,恽寿平,2,5.95,6.45,5.3
2.75_l91.jpg,葑仿古图,董其昌,1,3.75,4.15,3.4
2.75_s164n.jpg,八大山人_花鸟册（十开）1705年23×16.1cm-9,八大山人,4,4.25,4.2,4.1
2.75_s191.jpg,孙其峰_归园野卉_2000年,孙其峰,4,5.65,5.8,4.7
2.75_s199.jpg,曹明冉_一纸雅影作客酬,曹明冉,3,4.8,4.85,4
2.75_s209.jpg,曹明冉_浓淡虚实总相宜_牡丹梦入兰花里，月挂南山虫声低。笔墨著处移淡影，浓淡虚实总相宜。丁亥之初明冉,曹明冉,4,5,5.15,4.7
2.75_s222.jpg,李照东_野有嘉果690mm×690mm,李照东,4,5.1,4.9,3.65
2.75_s53.jpg,蒲蝶图,项圣谟,2,4.5,3.7,5.4
2.75_s76.jpg, 兰竹石图册32-22cm-3,诸升,4,4.6,4.35,5.1
2.8_l174.jpg,《山水清音图》清 石涛 纸本设色 纵102.6厘米 横42.5厘米 上海博物馆藏, 石涛,1,5.15,5.6,5.55
2.8_l179.jpg,《桐阴寄傲图》明 项德新 纸本水墨 纵57.2厘米 横27.1厘米 北京故宫博物院藏,项德新,1,5.5,5,5.45
2.8_l267.jpg,石鲁_秋树林_21×11_cm_1960年,石鲁,4,4.85,4.85,4.3
2.8_l43.jpg,枯木疏篁图 ,文徵明,5,5.05,4.65,4.85
2.8_s160o.jpg,明林良　S,,4,4.15,4.2,4.9
2.8_s183o.jpg,ph墨竹 溥心,,4,4.1,4.75,3.9
2.8_s188.jpg,孙其峰_一叶知秋图_1990年,孙其峰,3,4.8,5.15,4.7
2.8_s203.jpg,曹明冉_墨兰陪我泪湿巾_窗外飘雪案边馨，梦回泉城思伊人。初醒却见西风起，墨兰陪我泪湿巾。丁亥腊月之初__明冉K识於北京,曹明冉,4,4.9,6,4.85
2.85_l1.jpg,山水十开-1,查士标,2,3.45,3.95,4.15
2.85_l200.jpg,关山月_山居_1990年_54×68cm,关山月,1,4.55,4.45,4.55
2.85_l212.jpg,刘彦水_五十八_春山觅诗,刘彦水,1,3.9,3.7,6.05
2.85_l227.jpg,担当_山水人物册页25.5×34.5cm-2,担当,2,5.5,5.95,5.45
2.85_l26.jpg,蝙蝠迎风图,高剑父,5,4.65,4.35,5.2
2.85_s81.jpg,T香^生 洛花,燮,4,5.3,4.8,4
2.9_l135.jpg,幽人久孤,陈少梅,1,4.5,5.05,3.7
2.9_l281.jpg,赵望云_万山红遍__层林尽染___1972年__81×160cm,赵望云,3,6.65,6.8,5.1
2.9_l79.jpg,画山水人物册70-71,唐寅,2,4.85,4.75,4.75
2.9_l90.jpg,竹炉山房,沈贞,4,4.4,4.65,4.95
2.9_s156o.jpg,明仇英松亭泉D　S,,2,5.9,5.65,6.1
2.9_s169o.jpg,明治天中佳卉　S,,4,5.95,6.25,5.1
2.9_s179o.jpg,桓竹 窃香,,4,6.1,6.1,5.25
2.9_s207.jpg,曹明冉_暗香随笔荡红云__68×80cm,曹明冉,3,4.5,4.55,4.5
2.9_s213.jpg,曹明冉_虚实有无情为先_醉眼归来兰影乱，狂笔漫写少规范。浓烟淡墨无纤尘，静而不静闻非闻。不了了之似非似，虚实有无情为先。明冉,曹明冉,4,6.65,6.1,5.55
2.95_l167.jpg,《仙人村坞图》明 杨文骢 纸本墨笔 纵131.8厘米 横51.2厘米 北京故宫博物院藏,杨文骢,1,5.2,4.6,4.35
2.95_l243.jpg,方召_英国湖区小景50年代,方召,3,3.9,3.55,4.8
2.95_l47.jpg,归船,安正中,1,5,4.65,5
2.95_s159n.jpg,八大山人_梅花图册（三）,八大山人,4,6.2,6.3,5.8
2.95_s165n.jpg,八大山人_葡萄大石图轴181.5×49cm,八大山人,4,4.15,3.9,5.15
2.95_s85.jpg,荷花八条屏-01,蔡小丽,4,4,4.55,4.15
2_l120.jpg,三元里人民抗英,陆俨少,2,6.2,5.85,4.55
2_l239.jpg,方召_海岛耸峙__1983年,方召,4,4.15,5,3.6
2_l82.jpg,花卉山水册-12,陈洪绶,3,3.8,3.9,5.3
2_s102.jpg,兰花,宋雨桂,2,4.35,4.55,5.4
2_s174n.jpg,周鹏飞_倚苍横翠图__360cm×147cm×8-7,周鹏飞,2,5.05,5.9,4.75
3.05_l266.jpg,石鲁_树石图_33×11_cm_1960年,石鲁,5,6.3,6.5,5.2
3.05_l279.jpg,萧云从_设色山水长卷_1668年__24×867cm-8,萧云从,1,3.95,3.85,4.75
3.05_s1.jpg,水禽图,康宁,3,4.55,5.1,4.1
3.05_s110.jpg,骏马静时思图,徐悲鸿,3,5.3,5.3,4.8
3.05_s120.jpg,花月正春风,邹传安,3,4.5,4.25,4.55
3.05_s232.jpg,苏百钧_田间_185×150cm_绢本__2003年,苏百钧,3,4.9,4.5,5.4
3.05_s82.jpg,T香^生 海棠,燮,4,3.85,4.05,4.5
3.05_s95.jpg,荷花,吴冠中,3,4.7,4.5,4.4
3.1_l132.jpg,西冷湖山图,黄宾虹,2,4,4.4,4.4
3.1_l230.jpg,方召_云海__97×61cm__1980年,方召,3,4.5,4.6,4.55
3.1_l96.jpg,帆榭图,吴冠中,3,5.9,5.5,5.45
3.1_s125.jpg,荷秋籁,陈湘波,3,5.45,5.9,5
3.1_s149n.jpg,八大山人_“芙蓉”的副本,八大山人,4,6.65,6.4,5.4
3.1_s167o.jpg,明洪R花蝶生　S,,3,6.15,5.7,4.9
3.1_s170o.jpg,明治寒江艇　S,,5,4.9,4.75,5.45
3.1_s172n.jpg,周鹏飞_世代英雄图_240cm×147cm,周鹏飞,3,5.85,5.9,5.55
3.15_l204.jpg,关山月_绿色长城1973年135×214cm,关山月,3,4.55,4.7,4.45
3.15_l58.jpg,蜀山春雨,李可染,1,6.1,6.15,5.7
3.15_s145.jpg,花卉草虫小品_四屏4,陈葆棣,4,5.35,5.6,5.1
3.15_s175o.jpg,明治\圃Q春　S,,3,5.25,4.7,4.4
3.15_s198.jpg,曹明冉_一笑引得香魂归_幽兰静若水，窗外鸿雪飞。落墨招一笑，引得香魂归。丁亥之初__明冉,曹明冉,4,4.8,4.15,5.5
3.15_s200.jpg,曹明冉_兰石无欲让春风_一石一束兰，刚柔香且远。无欲让春风，大道顺自然。己丑之初明冉,曹明冉,4,5.8,5,5.6
3.15_s79.jpg,T香^生 桃花,燮,3,3.95,4.7,4.3
3.2_l27.jpg,竹雀双兔图,佚名,3,5.4,6,4.4
3.2_l42.jpg,瓜鼠图,朱瞻基,3,6.25,6.65,4.8
3.2_s14.jpg,海棠蛱蝶图,佚名,3,5.05,5.65,3.55
3.2_s166o.jpg,明洪R梅花山B　S,,4,6,5.4,5.75
3.2_s202.jpg,曹明冉_剪断又连秋到春,曹明冉,4,5.75,6.1,4.95
3.2_s237.jpg,郑闻慧__蝴蝶兰__1986年__新加坡,郑闻慧,3,4.35,3.9,5.1
3.2_s89.jpg,新秋晴窗,于非音,3,4.4,4.55,5.25
3.25_l118.jpg,诗意山水图,陆俨少,2,6.15,6.05,6.15
3.25_l15.jpg,初冬雪景,张漾兮,5,5.25,5.45,5.05
3.25_l18.jpg,凌宵松鼠图,任颐,3,5.2,5.05,4.9
3.25_l183.jpg,《烟江叠嶂图》 北宋 王诜 绢本设色 纵45.2厘米 横166厘米,王诜,2,5.9,5.75,5.5
3.25_l221.jpg,戴本孝_晓窗梅影图1662年165×51,戴本孝,1,5.25,4.55,4.95
3.25_l238.jpg,方召_故乡太湖__1980年,方召,1,4.65,4.15,4.95
3.25_l38.jpg,猿猴摘果图,佚名,3,5.95,5.65,5.6
3.25_s5.jpg,白鹰图,郎世宁,4,6,5.8,5.85
3.3_l133.jpg,山水,黄溱,1,6.3,6.2,4.8
3.3_l244.jpg,李照东_1970年代末临摹梁留生老师山水,李照东,1,4.1,5.15,4.55
3.3_l248.jpg,李照东_山水四屏__90×25cm×4__2006年-1,李照东,1,5.7,5.25,5.8
3.3_l251.jpg,李照东_桂林兴坪写生__1977年,李照东,1,4.65,4.5,3.6
3.3_l81.jpg,画山水人物册74-75,唐寅,1,4.8,4.9,4
3.3_s183n.jpg,周鹏飞_秋菊图_360cm×147cm,周鹏飞,4,5.35,5.4,4.6
3.3_s219.jpg,李照东_兰竹__刘昌潮__1972年,李照东,4,5.95,5,5.5
3.3_s51.jpg,万玉图,陈淳,4,5.6,6.35,4.6
3.35_l175.jpg,《岚容川色图》明 董其昌 纸本墨笔 纵13.9厘米 横53.2厘米 北京故宫博物院藏,董其昌,1,5.2,5.55,4.1
3.35_l231.jpg,方召_圆形山水__1985年-1,方召,3,4.4,5.1,3.85
3.35_l84.jpg,仿古山水册298,恽寿平,1,5.85,6,4.5
3.35_s13.jpg,世世太平图,齐白石,3,4.85,4.9,4.05
3.35_s130.jpg,松翠千纪, 韩天衡,5,4.65,4.35,4.75
3.35_s155n.jpg,八大山人_山水鱼鸟册（八开）26.5×19.5cm－1,八大山人,3,5.55,5.6,5.2
3.35_s176n.jpg,周鹏飞_清兴八式c240cm×70cm×8-2,周鹏飞,4,4.2,3.85,5.15
3.35_s27.jpg,鹰击天鹅图,殷偕,3,4.9,4.9,4.5
3.35_s68.jpg,箩卜豆荚,齐白石,3,4.65,4.3,3.95
3.35_s77.jpg,T香^生 卷丹,燮,4,5.8,6.05,4.95
3.4_l124.jpg,石壁过云开锦绣,陆俨少,1,6.2,6.15,5.8
3.4_l128.jpg,青松露滴身,陆俨少,5,5.2,5.35,4.75
3.4_l254.jpg,李照东_秋山图__138×70cm__2001年,李照东,1,3.85,3.7,4
3.4_l97.jpg,春柳-1 ,吴冠中,2,4.8,3.75,4.45
3.4_s149o.jpg,元中枯荷　S,,3,4.95,4.85,5.2
3.4_s25.jpg,花卉山水合册1,恽寿平,4,5.05,5.95,4.9
3.4_s8.jpg,溪芦野鸭图,黄荃 ,3,5.2,5.75,4.6
3.45_l178.jpg,《松窗飞瀑图》清 高岑 纸本设色 扇面 纵16.5厘米 横52厘米 广西壮族自治区博物馆藏,高岑,1,5.5,4.9,4.7
3.45_l189.jpg,《雪山萧寺图》 北宋 范宽 绢本淡设色 纵182.4厘米 横108.2厘米 台北故宫博物院藏,范宽 ,1,4.9,6.05,4
3.45_l259.jpg,李照东_通什红茆寨180×97cm__2000年,李照东,1,4.6,4.7,4.5
3.45_l265.jpg,石鲁_春雨初晴_68×60_cm_1961年,石鲁,3,5.85,6.5,4
3.45_s136.jpg,牡丹梅花,陈半丁,3,5.75,5.75,5.55
3.45_s164o.jpg,明文M春花三喜　S,,3,5.7,5.2,5.65
3.45_s208.jpg,曹明冉_月筛柔影乱_洗罢砚边尘，又留淡墨痕。月筛柔影乱，只看线生韵。明冉_看图王,曹明冉,4,6.15,5.75,5.6
